CASRN,NAME,DTXSID,mean_conc_black,mean_conc_amerind,mean_conc_hispanic,mean_conc_asian,mean_conc_pacisl,mean_conc_nhw,mean_conc_lowinc,mean_conc_verylowinc,mean_conc_medhighinc,contributing_cbgs
100-41-4,Ethylbenzene,DTXSID3020596,0.00274481813623189,0.000995323198996397,0.00244318761230184,0.00177575545247805,0.00226675909950314,0.00170533038317309,0.00228497301547466,0.00236165990440379,0.00185874088152723,189599
100-42-5,Styrene,DTXSID2021284,0.0148021475194437,0.011712734494099,0.0172787329218348,0.0107110906854551,0.00899078208877767,0.0126205938266904,0.0163241470532368,0.0164228611093638,0.0125565875463289,194082
100-44-7,Benzyl chloride,DTXSID0020153,0.0000394997387899511,0.00000542584322934409,0.0000139969250624108,0.000025480976448297,0.00000366250635098895,0.0000200579803419794,0.0000254961138013624,0.0000216090001864198,0.0000200250997241252,20681
100-75-4,N-Nitrosopiperidine,DTXSID8021060,0.000000000000999700331722872,0.000000000000281052760372143,0.000000000000279844199899018,0.000000000000664486773527174,0.00000000000267056017244787,0.00000000000392260223672514,0.00000000000260561000789701,0.0000000000025136941807285,0.00000000000263611298763659,894
10034-93-2,Hydrazine sulfate,DTXSID8020703,0.000000000112246835691057,0.00000000000569499169184892,0.0000000000318544803127941,0.0000000000452099042680777,0.0000000000126836888476942,0.0000000000457792812937159,0.0000000000416805092805961,0.0000000000386851930660056,0.0000000000550785198461514,1323
101-14-4,"4,4'-Methylenebis(2-chloroaniline)",DTXSID5020865,0.00000000325508483219378,0.000000000354285108373905,0.00000000139243995433775,0.00000000206840924266245,0.000000000326003741333266,0.00000000260901781922026,0.00000000222216298269777,0.00000000203666531434045,0.00000000246772086011593,3529
101-77-9,"4,4'-Diaminobiphenyl methane",DTXSID6022422,0.000000435901967446098,0.0000000301216851903864,0.000000115054807688712,0.0000000349178327858991,0.0000000269777513238814,0.000000192000227185159,0.00000015836556394779,0.000000170430609204413,0.000000211788405428469,5981
101-80-4,"4,4'-Oxydianiline",DTXSID0021094,0.00000000288171970883252,0.000000000282033656130694,0.00000000095064848545564,0.000000000929087697137871,0.000000000309712244325372,0.00000000211748825483446,0.0000000020127963026418,0.00000000217727522161427,0.00000000185029969723843,9048
101-90-6,Diglycidyl resorcinol ether,DTXSID2020470,0.0000000000197731752309172,0.00000000000692611770958327,0.000000000023812595470983,0.0000000000858615111535865,0.00000000000818025042266112,0.000000000210186307893935,0.0000000000519714712320345,0.0000000000432431081661595,0.000000000172058419316167,2128
106-46-7,"1,4-Dichlorobenzene",DTXSID1020431,0.00001674996764579,0.00000783708635493966,0.00000955218013980861,0.00000242551625770708,0.0000044527525144333,0.0000127726931000406,0.0000138638047186287,0.0000125002608751366,0.000011515336499659,8656
106-47-8,4-Chloroaniline,DTXSID9020295,0.0000000795072387126046,0.00000000946035536567337,0.0000000232425302591742,0.0000000165564426389897,0.0000000188221327164452,0.0000000478813958271348,0.0000000389779969873734,0.0000000349014837063463,0.0000000477547518548993,2909
106-88-7,"1,2-Epoxybutane",DTXSID6020569,0.00000643878871099841,0.000000728775827087357,0.0000104768473536521,0.0000045592618405657,0.00000114957099938067,0.00000309701813388349,0.00000534006670115504,0.00000501655402047327,0.00000478576834049688,18285
106-89-8,Epichlorohydrin,DTXSID1020566,0.000131390148457435,0.0000580997656664636,0.00014474373162606,0.0000670902678539002,0.0000756395553477324,0.0000667343004894387,0.000111842237194046,0.000106493692476112,0.0000808379238683667,29813
106-93-4,"1,2-Dibromoethane",DTXSID3020415,0.000000464316673878958,0.0000000357514061166254,0.0000000736693149620584,0.0000000709638233549597,0.0000000346383123121103,0.0000000592932254745243,0.000000165540388345576,0.000000207079140641658,0.0000000927772624927948,10443
106-94-5,1-Bromopropane,DTXSID6021874,0.00253338044515621,0.000790783043904423,0.00276175643171421,0.00447790764911114,0.0135633788637681,0.0025149927973845,0.00249315772558623,0.00262466481000238,0.00278656761562136,47268
106-99-0,"1,3-Butadiene",DTXSID3020203,0.000868381209465973,0.00017695134189156,0.00153796475835669,0.000365319785102048,0.000248699113150679,0.000367290300999253,0.000835068796756299,0.000877293667138611,0.000571870789650447,71766
107-02-8,Acrolein,DTXSID5020023,0.0000362564443391797,0.0000148284589988042,0.0000337371716971054,0.0000171913480047921,0.0000133660515202525,0.0000400858749415598,0.0000419540092628474,0.0000416742267702417,0.0000345031257199265,29487
107-06-2,"1,2-Dichloroethane",DTXSID6020438,0.000550473274193227,0.0000474468887071147,0.000274497066007832,0.0000820877442313782,0.0000390008711299338,0.000186651701924344,0.000299435230818936,0.000309941647987928,0.000217020941069104,15593
107-13-1,Acrylonitrile,DTXSID5020029,0.000249719092322808,0.0000547432672364525,0.0000832985042291377,0.0000573211968583203,0.0000331565705711804,0.000159950243590056,0.000176562268622586,0.000179035829239941,0.000138443555410338,52204
107-30-2,Chloromethyl methyl ether,DTXSID6020307,0.00000024233545447213,0.000000426335177102546,0.000000228322645687497,0.000000409387601984361,0.0000000341409439990598,0.00000131488674408845,0.000000925656931533928,0.00000086050850794926,0.00000088043056865077,718
108-05-4,Vinyl acetate,DTXSID3021431,0.000906169814926526,0.000215151497089884,0.00107901539788717,0.000648473182805026,0.000250777133426868,0.000538480203743837,0.00077844756865666,0.000801893190467656,0.000654435151782127,71431
108-10-1,4-Methyl-2-pentanone,DTXSID5021889,0.00441555818740149,0.00146708208194054,0.00298409158659159,0.00191066146995009,0.00154994600279221,0.0022312577277035,0.00302781854247565,0.00317562112063423,0.0024544140892247,142656
108-60-1,bis(2-Chloro-1-methylethyl) ether,DTXSID4020167,0.00000194187690335876,0.000000265062133101223,0.00000187178545480269,0.0000000945061598475715,0.000000593808389909556,0.00000041276553046119,0.00000140756377370801,0.00000105424467879164,0.000000632699374933128,706
108171-26-2,C10-12 chloroalkanes,DTXSID10872316,0.000000000176223006621468,0.0000000000704530009030738,0.000000000293843934117728,0.0000000000862092499990719,0.0000000000564504496626368,0.000000000102037617325403,0.000000000175968150306492,0.000000000174128269639636,0.000000000133759114975455,3728
110-00-9,Furan,DTXSID6020646,0.0001332081630151,0.0000117095041693393,0.0000153224359011269,0.0000076251226190738,0.00000107324049839071,0.0000127764873847751,0.000050908559786354,0.0000601805315908146,0.0000195819649610322,2178
110-86-1,Pyridine,DTXSID9021924,0.0000468654234031951,0.0000055175310467191,0.0000202096886877672,0.0000203071409885487,0.00000706246430298696,0.0000310685600079521,0.0000382756623827135,0.0000398846234072355,0.000027179006705176,43125
111-42-2,Diethanolamine,DTXSID3021932,0.000101253521854043,0.0000389802064806231,0.000173268089247942,0.000056464275790716,0.0000699338034727065,0.0000258109232329446,0.0000972457883530654,0.000109156434855141,0.0000519999917113034,79229
111-44-4,Bis(chloroethyl) ether,DTXSID9020168,0.000000470190220732088,0.00000390500603662928,0.000000738122363939048,0.000000271746882172099,0.000000243920303661649,0.000000474485849405245,0.000000663872184909425,0.000000648453454561177,0.000000497999301993843,9803
1120-71-4,"1,3-Propane sultone",DTXSID8021195,0.00000000197767315687351,0.000000000252763164774879,0.00000000163930117800805,0.00000000101683986766829,0.000000000141865418731002,0.00000000205160977231689,0.00000000217625971066131,0.00000000216670136035818,0.00000000176130434795882,1459
114-26-1,Propoxur,DTXSID7021948,0.000000000236069695963041,0.0000000000179625143778138,0.0000000000202677948350315,0.0000000000028957733908791,0.0000000000000564577465315433,0.0000000000326217009472088,0.0000000000731864675693841,0.0000000000876970018431802,0.0000000000447786035376813,95
116-14-3,Tetrafluoroethylene,DTXSID6021325,0.000119818080983462,0.0000337152687867505,0.000037321775703636,0.0000285536004361161,0.0000120815870879813,0.0000845524993405156,0.0000822136449559705,0.00008225194113538,0.000073019672044963,5167
117-81-7,Di(2-ethylhexyl) phthalate,DTXSID5020607,0.00000648376330186091,0.0000029132710927217,0.0000120352235639842,0.0000189823058816508,0.0000157602879225619,0.00000751679102407134,0.00000864816843233712,0.00000846709464807804,0.00000914469153235724,47346
118-74-1,Hexachlorobenzene,DTXSID2020682,0.000000202239397287817,0.0000000371241145243824,0.0000000834656151870987,0.0000000977402155806482,0.0000000208946758025937,0.000000272920638289375,0.000000219631790946702,0.00000025670694941553,0.000000208908538414749,16959
119-90-4,C.I. Disperse Black 6,DTXSID3025091,0.000000000458059309380562,0.000000000105578401475529,0.00000000024684328930849,0.000000000091352707232517,0.0000000000555791928271372,0.00000000018374339735572,0.000000000223788514353832,0.000000000226223732960888,0.000000000217640435619115,1282
119-93-7,"3,3'-Dimethylbenzidine",DTXSID5024059,0.000000000313702713313335,0.0000000000764757956570165,0.00000000017745602683416,0.0000000000588767718358726,0.0000000000355993084156485,0.000000000135155922473163,0.000000000153517943360605,0.000000000151888729283665,0.000000000158509175980362,1282
120-12-7,Anthracene,DTXSID0023878,0.0000124418400748251,0.0000109922946561582,0.0000142769738770513,0.0000109178657108916,0.0000143895873055172,0.00000587291039006188,0.00000994615322009533,0.0000108517875410754,0.0000081951655732472,46598
120-71-8,2-Methoxy-5-methylaniline,DTXSID1020350,0.0000000157233947164855,0.000000000803636385974573,0.000000000476692759641885,0.00000000117894286215704,0.00000000122683288976068,0.00000000174093501964339,0.00000000482658166182601,0.00000000562803100239504,0.0000000025729298288448,1788
120-80-9,"1,2-Benzenediol",DTXSID3020257,0.00000280215522851005,0.00000057242240483495,0.0000014444653552823,0.00000444532517621776,0.00000590111098912362,0.000000808732028635512,0.00000129439171593057,0.0000014322764181325,0.00000147093516831211,9644
121-14-2,"2,4-Dinitrotoluene",DTXSID0020529,0.0000000609117772852868,0.000000153265228657247,0.0000000377844290570534,0.0000000381959632198951,0.00000014884385643336,0.00000043752015243661,0.000000378393140946105,0.000000400968065401417,0.000000250060433708711,7514
121-75-5,Malathion,DTXSID4020791,0.000000214120307655322,0.00000000361892803597494,0.00000002714994114289,0.00000000229751092345942,0.00000000133531842649153,0.0000000158623303520756,0.0000000660687996433344,0.0000000803236078497397,0.0000000310827060530899,6617
122-66-7,"1,2-Diphenylhydrazine",DTXSID7020710,0.000000000680034113298722,0.000000000147044123759797,0.000000000353171476457295,0.000000000143705144646659,0.0000000000884157126135896,0.000000000258776851002988,0.000000000334334976203087,0.000000000343891297562434,0.000000000308003662434608,1214
123-91-1,"1,4-Dioxane",DTXSID4020533,0.000069255328856532,0.0000114362185972598,0.000045030794466392,0.0000390432401343328,0.0000105125787602684,0.0000362388286696854,0.000045946210110511,0.0000492698427666695,0.0000401287941485133,41311
12427-38-2,Maneb,DTXSID9020794,0.000000000003924734285672,0.000000000000519024188434889,0.000000000000354278754366427,0.000000000000124596834097882,0.00000000000000974011015722246,0.000000000000840585345847103,0.00000000000157815770135388,0.00000000000186349643767403,0.000000000000873770816371392,95
126-72-7,"Tris(2,3-dibromopropyl) phosphate",DTXSID5021413,0.000000000000980056338531335,0.000000000000277075241466561,0.000000000000273871282449298,0.00000000000064724317815787,0.0000000000026631719154286,0.00000000000385180910747662,0.0000000000025659885237524,0.00000000000247707327695619,0.00000000000258512738707414,894
126-99-8,Chloroprene,DTXSID5020316,0.0000575298077500002,0.00000531968018310129,0.000005369561762523,0.00000267185883329598,0.00000120032369108683,0.00000758862235251049,0.0000167741027382863,0.0000167876964766806,0.000011596784005327,6423
127-18-4,Tetrachloroethylene,DTXSID2021319,0.000880952681308607,0.00052020557297674,0.00156450774501388,0.000768404634817114,0.00100807662109359,0.000718494423462825,0.00105982409839674,0.00104159451814553,0.000846468716454523,94255
130498-29-2,Polycyclic aromatic hydrocarbons,DTXSID3044043,0.0000787562168609871,0.0000223888255199512,0.0000657939237731028,0.0000441093479091043,0.0000390121382466606,0.0000455485446896514,0.0000615078413061853,0.0000640134752609683,0.0000500077070000409,207585
1313-27-5,Molybdenum trioxide,DTXSID7020899,0.000364084254194292,0.0000367974936027149,0.000419783457565211,0.000157116296955332,0.0000201404728650439,0.0000971975507996606,0.000237755712917867,0.00024611265306244,0.00017588947539456,54093
13194-48-4,Ethoprop,DTXSID4032611,0.00000000483207947283796,0.00000000191110036595056,0.000000000185042777497039,0.000000000156408890391996,0.000000000099148458801092,0.00000000128228314652261,0.00000000229997820941437,0.00000000256460025303276,0.00000000109071624076687,613
132-27-4,Sodium 2-phenylphenate,DTXSID2021153,0.0000000047818961467253,0.000000000524788689650142,0.000000000222643211523096,0.000000000323831497362696,0.000000000175282115389067,0.00000000152666786597111,0.00000000212676138123082,0.00000000256123801874631,0.00000000137275913294119,253
133-06-2,Captan,DTXSID9020243,0.000000000364158234415922,0.000000000248342166966821,0.0000000000940357310459852,0.00000000000726836134027582,0.00000000000837194530980606,0.000000000227551091122542,0.000000000275023591371304,0.000000000250944383647667,0.000000000176530663369858,618
1332-21-4,Asbestos,DTXSID4023888,0.00000000746819548719631,0.00000000530178808684361,0.00000000928714148740868,0.00000000465414512171043,0.00000000267667435529016,0.00000000540312881835446,0.00000000681058638293426,0.00000000679784610219583,0.00000000615511691188563,4131
1336-36-3,Polychlorinated biphenyls,DTXSID5024267,0.00000000751867370647433,0.0000000043362104488495,0.00000000367689875578775,0.00000000190002764250776,0.00000000119488897984456,0.0000000040451918261754,0.00000000484371890005034,0.000000004991734514288,0.00000000403002978686487,11821
134-32-7,1-Naphthylamine,DTXSID7020920,0.000000000533072046980216,0.000000000143276365203095,0.000000000175004724084159,0.0000000000636996217525187,0.0000000000486985724154633,0.000000000182810191528333,0.000000000242333090173795,0.000000000252834039048168,0.000000000202114366414224,605
135-20-6,Cupferron,DTXSID1020352,0.000000151181074475365,0.0000000254925138948954,0.00000000674724468757856,0.00000000990128353772359,0.00000000804608090596569,0.0000000375414925431666,0.0000000574189555504463,0.0000000570760288633578,0.0000000381173170018231,300
137-41-7,Potassium N-methyldithiocarbamate,DTXSID1034424,0.00000000163272660930501,0.00000000160168305412296,0.0000000000683256194492277,0.000000000117605703282422,0.0000000000592315246251075,0.000000000818104686538823,0.000000000922290506541724,0.000000000961710953964761,0.000000000654224948823437,388
137-42-8,Metam-sodium,DTXSID2029167,0.000000053170185741645,0.000000155850683410205,0.00000070105470580844,0.000000102042710959709,0.000000214816722632998,0.000000216050576642495,0.000000356842436758482,0.000000306633249714833,0.00000025011733995498,2037
139-13-9,Nitrilotriacetic acid,DTXSID6020939,0.000000000039797652283859,0.00000000000984440219275623,0.0000000000631206668128627,0.0000000000342067489352498,0.00000000000516320882076925,0.000000000020515953911754,0.0000000000286372355995825,0.0000000000259995149510617,0.0000000000326749165675906,990
140-88-5,Ethyl acrylate,DTXSID4020583,0.000139719892413718,0.0000194661469634528,0.0000744638790111004,0.0000626536111442788,0.0000231840918081631,0.0000933484588641237,0.000128140878342022,0.0001605517815538,0.0000793271877241188,63559
149-30-4,2-Mercaptobenzothiazole,DTXSID1020807,0.000000302967120892883,0.000000100223895882444,0.000000177144428477996,0.000000106775139699263,0.000000156533866125995,0.000000546299467763832,0.000000503732397203334,0.000000620066785594945,0.000000385722715363116,3859
151-56-4,Ethyleneimine,DTXSID8020599,0.0000000000376480112340432,0.0000000000102147111062561,0.00000000000519502682863034,0.00000000000236044834206712,0.0000000000120923718171312,0.0000000000295817801624129,0.0000000000297387114815465,0.0000000000315994251463541,0.0000000000215552823059893,105
15972-60-8,Alachlor,DTXSID1022265,0.000000000610054886263964,0.000000000371701411747959,0.00000000140471786872902,0.000000000323299645284281,0.0000000000726790156923291,0.00000000253683931828267,0.00000000197900824138741,0.00000000189827759994317,0.00000000187909052555281,1900
1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",DTXSID2021315,0.000000000454401974420248,0.000000000460777559397731,0.000000000530712704275109,0.000000000278872987791655,0.000000000255858224612473,0.000000000535356030407787,0.000000000609957126858638,0.000000000600569477418738,0.000000000465860981404063,169478
1763-23-1,Perfluorooctanesulfonic acid,DTXSID3031864,0.00000000000535542050195445,0.00000000000115097159481045,0.000000000000614096799565567,0.000000000000177170286744728,0.0000000000000407050849328924,0.00000000000170441661329388,0.00000000000263339694319541,0.00000000000285737906645752,0.00000000000151487692145441,109
1897-45-6,Chlorothalonil,DTXSID0020319,0.0000139580538859655,0.00000105222995029748,0.00000172399534284393,0.0000019399219000606,0.000000860319877357879,0.0000037451127364187,0.00000568640702811158,0.0000059354697373949,0.00000419223273636234,3952
1918-16-7,Propachlor,DTXSID4024274,0.0000000000014881841671343,0.000000000000721357482627584,0.000000000000934829882442111,0.000000000000811404486488569,0.00000000000022244467457676,0.00000000000359827158043758,0.00000000000225522584540203,0.00000000000209548609281,0.00000000000278165534427271,1625
1929-82-4,Nitrapyrin,DTXSID0024216,0.000000063796990493987,0.0000000195690642577099,0.000000105153845200227,0.00000012814008023816,0.000000263247009932307,0.0000000262654872744522,0.0000000517271240354623,0.0000000535260061020477,0.000000054268539150802,2226
19666-30-9,Oxadiazon,DTXSID3024239,0.00000000000725989950257996,0.0000000000014097989761735,0.00000000000988483268127306,0.00000000000184665645968764,0.000000000000487332774177694,0.0000000000114969707476078,0.0000000000139197042372728,0.0000000000153816214208689,0.0000000000083011640027886,145
2312-35-8,Propargite,DTXSID4024276,0.0000000185806877271094,0.000000000320137868647079,0.00000000125621104774047,0.000000000791188852561711,0.00000000253696947971814,0.00000000172611437851549,0.00000000763434493452047,0.00000000801065139425133,0.00000000207385773196899,179
23950-58-5,Propyzamide,DTXSID2020420,0.00000000000109809510406287,0.000000000000301086060222769,0.00000000000030982684787518,0.000000000000751050726160809,0.00000000000270899310315353,0.00000000000427561858197286,0.00000000000280364400007942,0.00000000000269692511347494,0.00000000000289038055792188,894
26471-62-5,Toluene diisocyanate,DTXSID0024341,0.0011389049422052,0.000390380940695721,0.000976926987390159,0.000532458755834489,0.000428825959245137,0.000410209939583627,0.000647161695848557,0.000634225713927367,0.000607919446028286,175387
28407-37-6,C.I. Direct Blue 218,DTXSID2020187,0.00000000231738452250807,0.000000000322583053305999,0.000000000502767832608934,0.000000000469354247923087,0.000000000603482511071816,0.00000000134670788705659,0.00000000106012260561201,0.000000000980755904586313,0.00000000133036015066891,462
302-01-2,Hydrazine,DTXSID3020702,0.0000016871573974645,0.000000311720548906615,0.000000385599866503777,0.000000201102128146915,0.000000123133586037329,0.000000927563321450418,0.00000117438819201064,0.00000143976893077022,0.000000738786474099274,31389
309-00-2,Aldrin,DTXSID8020040,0.00000000743273732735408,0.000000000624749545834927,0.000000000705525417269214,0.000000000877321450493023,0.000000000444890493972066,0.00000000139792773432635,0.00000000283752637484189,0.00000000345474896650451,0.00000000166451721421131,7731
319-84-6,"alpha-1,2,3,4,5,6-Hexachlorocyclohexane",DTXSID2020684,0.00000000115483062901643,0.000000000210292711327799,0.000000000572673952718273,0.00000000027000857074825,0.000000000170506837547479,0.000000000430369332163972,0.000000000597774800253655,0.000000000627372761576004,0.000000000499809885377821,320
3296-90-0,Pentaerythritol dibromide,DTXSID9020164,0.000000655533136487042,0.0000000628087070152081,0.000000283557526188834,0.000000390927864146854,0.0000000317449470777529,0.000000255055722371042,0.000000388647188494243,0.000000454581527500901,0.000000289034161671372,6869
330-54-1,Diuron,DTXSID0020446,0.0000000389070083316795,0.0000000101660594750471,0.0000000478651729996738,0.0000000363105450669463,0.0000000365621505256796,0.0000000291687034246965,0.0000000334395088105032,0.0000000333785577523091,0.0000000347776883701975,16698
333-41-5,Diazinon,DTXSID9020407,0.0000000568807286708213,0.0000000017146257675717,0.0000000015600349082686,0.00000000142009216379889,0.000000000948214034483573,0.00000000531406331559759,0.0000000184761875655967,0.0000000228715532446616,0.00000000754026783732015,7793
335-67-1,Perfluorooctanoic acid,DTXSID8031865,0.00000000467100761635257,0.000000000703308157012475,0.00000000058448727144667,0.00000000121594147621698,0.000000000355080442557799,0.00000000112178929184897,0.00000000207761509152431,0.00000000251420142654526,0.00000000122899159051339,6043
4170-30-3,Crotonaldehyde,DTXSID8024864,0.000000132590309915163,0.000000118046772535101,0.00000120654715623587,0.0000000547887610200883,0.0000000785921768352663,0.000000119673365267642,0.000000491643424201706,0.000000721359494661515,0.00000025545019944995,2804
492-80-8,Auramine,DTXSID7043821,0.000000000287739010594314,0.0000000000710008250034337,0.000000000164873897408523,0.000000000053214936092013,0.0000000000321618849368101,0.000000000126391450347905,0.000000000141055786317872,0.000000000138781052408414,0.000000000147775813388356,1282
50-00-0,Formaldehyde,DTXSID7020637,0.0010674993464191,0.000872967774901424,0.000705433158254541,0.000473057828663131,0.000564969706973148,0.000901075276823584,0.0010110742799125,0.00103870754148685,0.000797443153097771,152881
51-79-6,Urethane,DTXSID9021427,0.0000000599093575538754,0.00000000223882121565199,0.0000000410166995601179,0.0000000053544742738813,0.00000000142311165195375,0.00000000687694027131595,0.000000027639903119568,0.0000000314679174292727,0.0000000164125925192117,9848
510-15-6,Chlorobenzilate,DTXSID9020299,0.00000000937961216145125,0.00000000182762229953729,0.00000000125389971998966,0.000000000920872752756749,0.000000000888917557014999,0.00000000270057036751503,0.00000000392346412801583,0.00000000402203244264207,0.0000000027876227330605,1582
542-75-6,"1,3-Dichloropropene",DTXSID1022057,0.00000274087258078145,0.00000049889897397092,0.00000356126390428198,0.000000630434867889296,0.000000875371313572597,0.00000107992250319521,0.00000243088052809617,0.00000210573716749737,0.00000142999126163656,4290
55-18-5,N-Nitrosodiethylamine,DTXSID2021028,0.00000000000106281787060793,0.000000000000293882489158325,0.000000000000299076059993248,0.000000000000719983311943105,0.00000000000269586316357439,0.00000000000414939723486583,0.0000000000027327777629272,0.00000000000263134009802535,0.00000000000279945270473752,894
556-52-5,Glycidol,DTXSID4020666,0.00000164620909080698,0.000000523243838478694,0.0000016032937141687,0.000000459114887580781,0.000000174052511362069,0.000000797050433163759,0.00000128500529105602,0.00000135750291011429,0.000000934180094681273,4603
56-23-5,Carbon tetrachloride,DTXSID8020250,0.0000685481274227595,0.0000100374461376334,0.0000243661297390974,0.0000163660936178042,0.0000186668192828637,0.0000279053756817148,0.00003431670630004,0.0000359478953536569,0.0000303560143719803,14606
56-38-2,Parathion,DTXSID7021100,0.000000000215011610578224,0.0000000000155138357099151,0.0000000000185624249855656,0.00000000000245358172549129,0.0000000000000809509471989686,0.0000000000291975396491241,0.0000000000652105541285712,0.0000000000780567307911205,0.0000000000409028443346556,1720
563-47-3,3-Chloro-2-methylpropene,DTXSID1020279,0.000000232322238619536,0.0000000875115606969364,0.0000000393670651141004,0.0000000765095817000539,0.0000000358265282467622,0.000000160033987537874,0.000000144510991654228,0.000000152081455991637,0.00000014136029842495,2587
57-14-7,"1,1-Dimethylhydrazine",DTXSID1020516,0.00000000112501199430119,0.000000000206046567069774,0.000000000558092859373148,0.000000000263040902588884,0.000000000168058476108562,0.000000000422564934975511,0.000000000583378305056713,0.000000000611874244678419,0.000000000489360215576066,1214
57-41-0,"5,5-Diphenylhydantoin",DTXSID8020541,0.0000000431765968409973,0.0000000199102103768725,0.00000001661601653853,0.0000000167530085744762,0.0000000140199463637966,0.0000000684829004928714,0.0000000569086605787884,0.0000000541678092974126,0.0000000507732700379347,515
